raw_State,raw_District,raw_Date,raw_Year,raw_Month,raw_Avg_rainfall,raw_Agency_name
Himachal Pradesh,Mandi,2019-03-02,2019,03,17.83303663,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-03,2019,03,0.023786791,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-04,2019,03,20.42744125,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-06,2019,03,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-09,2019,03,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-13,2019,03,2.55652417,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-14,2019,03,9.477035778,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-18,2019,03,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-27,2019,03,0.31882156,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-02,2019,04,0.094674492,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-07,2019,04,0.691361457,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-08,2019,04,15.19868112,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-12,2019,04,0.290001795,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-18,2019,04,0.507751129,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-08,2019,05,0.272399703,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-12,2019,05,0.952343766,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-19,2019,05,0.06723946,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-20,2019,05,0.204754143,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-25,2019,05,0.421924285,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-27,2019,05,0.18312434,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-28,2019,05,0.064523252,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-01,2019,06,1.510571092,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-02,2019,06,0.004513698,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-07,2019,06,0.389869037,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-19,2019,06,1.808461873,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-20,2019,06,6.796364929,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-24,2019,06,21.2868947,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-25,2019,06,1.227659398,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-27,2019,06,0.377413094,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-04,2019,07,14.37232813,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-19,2019,07,14.93291882,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-26,2019,07,27.73623079,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-31,2019,07,9.607899746,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-06,2019,08,6.644370462,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-08,2019,08,20.38101939,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-12,2019,08,8.907297856,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-19,2019,08,5.863314228,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-04,2019,09,24.12270896,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-05,2019,09,3.337041157,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-15,2019,09,2.325733044,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-20,2019,09,4.324675654,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-04,2019,10,1.755935206,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-06,2019,10,0.299868021,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-07,2019,10,1.010369423,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-08,2019,10,0.127834863,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-25,2019,10,0.020890834,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-27,2019,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-02,2019,11,0.230584747,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-07,2019,11,16.38195582,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-17,2019,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-19,2019,11,0.042906765,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-30,2019,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-06,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-07,2019,12,0.032008646,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-27,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-01,2019,01,0.723762888,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-04,2019,01,0.216764042,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-05,2019,01,0.942490855,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-07,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-08,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-09,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-22,2019,01,25.9886639,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-25,2019,01,0.652841901,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-27,2019,01,0.061127993,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-31,2019,01,8.955543833,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-04,2019,02,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-05,2019,02,0.128360796,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-20,2019,02,6.01098806,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-23,2019,02,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-17,2019,03,1.654982812,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-20,2019,03,15.99746594,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-26,2019,03,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-03-31,2019,03,0.389389706,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-03,2019,04,0.11142444,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-17,2019,04,24.1499709,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-23,2019,04,0.145097429,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-25,2019,04,3.865283678,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-04-26,2019,04,0.221251111,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-01,2019,05,2.316545871,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-02,2019,05,2.675491413,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-03,2019,05,0.082837684,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-07,2019,05,0.004693447,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-10,2019,05,4.638697249,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-05-14,2019,05,4.220447833,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-04,2019,06,1.289359925,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-09,2019,06,0.024206206,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-10,2019,06,0.160582477,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-21,2019,06,0.242428213,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-06-22,2019,06,0.359391587,NRSC VIC MODEL
