imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
1.1480517387390137,0.7645612632927588,0,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
2.717489719390869,1.3130486338852339,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
